Scraped date,Category,Series Title,Release Year,SNO,ENO,Episode Title,links
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,8,Pe-Pol's Choice,{'fox': ['b2d22b258fb8e11868e02a4f1ac79cdd']}
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,7,Show Me the Honey,{'fox': ['07a070499e9f46aedb4c486e39b10054']}
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,6,K-9 to 5,{'fox': ['62e90f0311b674b15f5c8b9887092b92']}
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,5,Frosty the Pol-man,{'fox': ['9f90dba4a501c03e86fcd024f0e26e7a']}
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,4,Pol Side of the Moon,{'fox': ['32cc89ff5affd3f015806873f9e7b215']}
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,3,Happy Birthday to Moo!,{'fox': ['0cc200d8d29622fd7f0d43cdf0e49acc']}
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,2,Hooked on a Feline,{'fox': ['0f193ed5f34407a29f265a32cf1f9873']}
2018-03-13,FOX Shows,The Incredible Dr. Pol: Deja Moo!,2013,12,1,Its All Dutch To Me,{'fox': ['d19c7c01c68db87bd672794dab3d9dbe']}
2018-03-13,FOX Shows,America's Wild Frontier,2018,1,2,Into the Appalachians,{'fox': ['1a3ef3ddd9b30f7b31d626a36b3dcd5a']}
2018-03-13,FOX Shows,America's Wild Frontier,2018,1,1,The Mighty Mississippi,{'fox': ['8c46282d385ce23095e28ff702da43fd']}
2018-03-13,FOX Shows,Atlanta,2016,2,2,Sportin' Waves,{'fox': ['875215146026845a69211cb11aa27540']}
2018-03-13,FOX Shows,Atlanta,2016,2,1,Alligator Man,{'fox': ['b5c346611383c1b3a91e6744905b0504']}
2018-03-13,FOX Shows,Showtime at the Apollo,2018,1,2,Week 2,{'fox': ['038141a3a8da5dc67943b914b305a284']}
2018-03-13,FOX Shows,Showtime at the Apollo,2018,1,1,Premiere,{'fox': ['33cc29abf363aa6983fbe21bdaf274e8']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,11,Feast or Famine,{'fox': ['386eaa600702c06b2aa9999848118544']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,10,Alone,{'fox': ['052b84c67b8996de26e65903548214b4']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,8,Crash Course,{'fox': ['8c5b4655a5fbfe59cfcfe9e6cef52321']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,7,Give Me Shelter,{'fox': ['2f7fcf24fc9efdda0d0a5db271072ba1']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,6,Forged in Ice,{'fox': ['2b16803a376dbedbca1f019e5c75bc09']}
