48 Hours,0,Highway of Tears, 26,14,{'nbc': ['2EpRNeeXfitlMg7S4s6l7GSJ_4EU_duV']}
48 Hours,0,The Country Club Murders, 26,23,{'nbc': ['eYvS7odIJbShePVgQDRJv3h_xhNd7yh9']}
48 Hours,0,Pain and Gain, 26,25,{'nbc': ['IYk0aem1zZHpxV0jartsA_aBn8Fy1Sit']}
48 Hours,0,The Accuser, 25,45,{'nbc': ['j0RwnoCpuiiVw6BFpfOeG2doQpdEhkIM']}
48 Hours,0,Lina's Heart, 25,46,{'nbc': ['cZYRZNz2yXjcgGRmPdZ_ONJVVJI2NRx7']}
48 Hours,0,The hunt for Mr. Wright, 25,47,{'nbc': ['yBd2X2AcsqGyLfoV3KGSRiqM9wRjy8UW']}
48 Hours,0,Shattered Dreams, 25,48,{'nbc': ['EbF82sXkN4MwZ4_TlCFKijVRS3errFbK']}
48 Hours,0,Chasing the Barefoot Bandit, 25,49,{'nbc': ['yymDoNcYY5GldFpDCg2CSCupvUBdkZ_Z']}
48 Hours,0,Crazy Love, 25,50,{'nbc': ['hiOr7YzUHegVKI0hjic9Vk_m1fGA_0Q6']}
48 Hours,0,"Secrets, Lies and Alibis", 25,51,{'nbc': ['_8IbhBC4BcVUwF35Ky8EXag6Ka4E3_MN']}
48 Hours,0,Long Island Serial Killer, 25,52,{'nbc': ['rAZyzZxUpRlceOl8epkok1EWMy7w1oZ_']}
48 Hours,0,"""48 Hours"" Live to Tell: Black Wave", 25,53,{'nbc': ['cHIETaSwizwmuDTQtRs5mMuKfKifW_sA']}
48 Hours,0,The Railroad Killer, 25,54,{'nbc': ['FtXOdSQKJZH4Z9zspmpErfd1Di6jRoh8']}
48 Hours,0,Desperate Measures, 25,55,{'nbc': ['_KN_YG__uoCHHLSJkYaNcqdUdzq3Z9Qk']}
48 Hours,0,Hunting Humans, 25,56,{'nbc': ['ihW54w_XX4x2vPibU1aV4e_dwCxt5_u3']}
48 Hours,0,The Usual Suspect, 25,62,{'nbc': ['JOrbGR6VwSS6nLvuIWWVYiOP24972na1']}
48 Hours,0,Cold as Ice, 25,64,{'nbc': ['iG59r7YA8PW6lgCalPzbLDcsU1_W73Qv']}
9JKL,0,9JKL - Tell All, 1,16,{'nbc': ['ikBU_AVAtJOInxs_gLyhXg31_pv0w1aK']}
9JKL,0,9JKL - Stalker Status, 1,15,{'nbc': ['Vos8z9CMlJd8ru1kxqwjw_t11VhSbUp2']}
9JKL,0,9JKL - Fridays with Harry, 1,14,{'nbc': ['RP2Q1EZIwOleJmpbOMa4yV2dSbQZ8Vwg']}
9JKL,0,9JKL - Heavy Meddling, 1,13,{'nbc': ['URLnODglu7XGQE0ysfTeZqJLNFs3gzR6']}
9JKL,0,9JKL - It Happened One Night, 1,12,{'nbc': ['T8AKXJrLQIR_RHroFP7V9oMXNNZ1UyAf']}
9JKL,0,9JKL - Set Visit, 1,11,{'nbc': ['rCP9DmtLL6sx0xU5Jrvr2xQAqeqVdDda']}
9JKL,0,9JKL - The Family Plot, 1,10,{'nbc': ['kwYcw4fnVvEjl0cJV3INWbkcUQEJqPHF']}
9JKL,0,9JKL - Lovers Getaway, 1,9,{'nbc': ['VeHqEwqMfR1Zzr_1V4JdE3D1iOmnP9Mk']}
9JKL,0,9JKL - Make Thanksgiving Great Again, 1,8,{'nbc': ['xViNYIm1dOe1tbwJc6153PFXSe_bupX3']}
9JKL,0,9JKL - Nanny Wars, 1,7,{'nbc': ['NC6wkG4klZ95V_qS3xGNIanqLdBT2Bsx']}
9JKL,0,9JKL - TV MD, 1,6,{'nbc': ['xKRoRKzGxBtAeLwKr6APuV0uA4SuYOr_']}
9JKL,0,9JKL - The Key to Life, 1,5,{'nbc': ['oWgekUER5Yy8X8sNna43qwhoPtotNwcF']}
Angel From Hell,0,Angel From Hell - Pilot, 1,1,{'nbc': ['468593BD-7506-2E38-A955-F5D66EBE1F2C']}
Angel From Hell,0,Angel From Hell - Face Your Fears, 1,2,{'nbc': ['i422WOtUgdctFiui3W0aztaOsRciJGpU']}
Angel From Hell,0,Angel From Hell - Go With Your Gut, 1,3,{'nbc': ['QyrMFqn5iYIAr6nsrYpvR7ZA2Co_VAcz']}
Angel From Hell,0,Angel From Hell - Family Business, 1,4,{'nbc': ['2Z6cCaLHDncOKfyduIhf2oJdseoTk3a8']}
Angel From Hell,0,Angel From Hell - Soulmates, 1,5,{'nbc': ['FbAnNxw6FJ25zj_YWJ3MCT5ZI_uUGKBR']}
Angel From Hell,0,Angel From Hell - Angel Probation, 1,6,{'nbc': ['v1OSo_pAPVSEVkD6QZWO59muVAldla2S']}
Angel From Hell,0,Angel From Hell - Angel Appreciation Day, 1,7,{'nbc': ['8Npv97ZRWWCdG2_jd5nw_GCKvdIIpXYD']}
Angel From Hell,0,Angel From Hell - Practice Guy, 1,8,{'nbc': ['u1BhpFBzLgZwT2yhuHo3EuL8APFUizM4']}
Angel From Hell,0,Angel From Hell - Rain Check, 1,9,{'nbc': ['0Gr99GzyYqO8fh48gVqdwGieg1H51tPi']}
Angel From Hell,0,Angel From Hell - Funsgiving, 1,10,{'nbc': ['FA53C611-941E-FF91-837B-E1389BACB66B']}
Angel From Hell,0,Angel From Hell - The Flask, 1,11,{'nbc': ['90AF0CE6-A046-FF2C-D976-E1389BADB407']}
Angel From Hell,0,Angel From Hell - Believe Me (Part 1), 1,12,{'nbc': ['662CF071-2C34-5EC0-E1C7-EB8504B4DA43']}
BrainDead,0,BrainDead - The Insanity Principle, 1,1,{'nbc': ['BB943FA4-BF79-2ED5-2611-41651CD098A5']}
BrainDead,0,BrainDead - Playing Politics, 1,2,{'nbc': ['28224AA3-B750-4B07-BBD3-65D87FB083BF']}
BrainDead,0,BrainDead - Goring Oxes, 1,3,{'nbc': ['E6EAB32C-4516-C007-C52A-89A78CE67BC7']}
BrainDead,0,BrainDead - Wake Up Grassroots, 1,4,{'nbc': ['F_60EC9hhHelzRMyauseDVXFaTHAnYb7']}
BrainDead,0,BrainDead - Back to Work, 1,5,{'nbc': ['6DED515B-9976-A048-8986-19C01C8FCDDE']}
BrainDead,0,"BrainDead - Notes Toward A Post-Reagan Theory Of Party Alliance, Tribalism, And Loyalty", 1,6,{'nbc': ['865F39ED-357B-9CAE-9DE3-3DBD969CFA8F']}
BrainDead,0,BrainDead - The Power of Euphemism, 1,7,{'nbc': ['E65910AE-36D6-89AB-9F62-61978988C4FC']}
BrainDead,0,BrainDead - The Path to War Part One, 1,8,{'nbc': ['8DE76FCF-CD2A-B0B7-86D5-857F657F7038']}
BrainDead,0,BrainDead - Taking on Water, 1,9,{'nbc': ['3m8QVee2Yb2jage84CW4dPY6RMa5nw5x']}
BrainDead,0,BrainDead - The Path to War Part Two, 1,10,{'nbc': ['CFF3B160-814E-1F09-1669-CE21B5BE45D4']}
BrainDead,0,BrainDead - Six Points on the New Congressional Budget, 1,11,{'nbc': ['CDF0A06E-AC0A-9F9D-712B-ED93F33996FC']}
BrainDead,0,BrainDead - Talking Points Toward a Holistic View of Activism in Government, 1,12,{'nbc': ['YmrufUwzFYNpw_EKt2rZYwJBMPORXpVC']}
The Carol Burnett,0,pecial ,1,1,{'nbc': ['3bZA3HTgwTiCtfdfH7CXrfo4plYye24u']}
The Guardian,0,The Guardian - Pilot, 1,1,{'nbc': ['pMZKOnRHxT2_7uzezhUST1YQquguoy_M']}
The Guardian,0,The Guardian - Reunion, 1,2,{'nbc': ['_LzBGXoe0Ss5_l5Cp_X618_aK29TWxoF']}
The Guardian,0,The Guardian - Paternity, 1,3,{'nbc': ['uXblvlFn1099WIyDrKy9SO9qfNNRVEeT']}
The Guardian,0,The Guardian - Lolita?, 1,4,{'nbc': ['kX7hQwtVIGeExxzIWdQqkdbiBhizeyGS']}
The Guardian,0,The Guardian - The Men From The Boys, 1,5,{'nbc': ['9LDdbWB9RURxpM2AlDsMQQwK36_3gFcG']}
The Guardian,0,The Guardian - Indian Summer, 1,6,{'nbc': ['_FSKi72L_vC3tf_CwMQ5YKSlvCr6gObG']}
The Guardian,0,The Guardian - Feeding Frenzy, 1,7,{'nbc': ['ECOZcyCKiqulhpN3S81HljJccEXKRU3M']}
The Guardian,0,The Guardian - Heart, 1,8,{'nbc': ['BJ4WZkgTaZJaHgXaIJXXBq1UgOuS1eZE']}
The Guardian,0,The Guardian - The Funnies, 1,9,{'nbc': ['4lVKV5PUzQxRBA7mJ17O8LRczm2dZ9dc']}
The Guardian,0,The Guardian - Loyalties, 1,10,{'nbc': ['jE1__Erc5gG9YLaIPF2gXxy5wHACRlZp']}
The Guardian,0,The Guardian - Home, 1,11,{'nbc': ['DLOxj6K4kyyebAL9Kq55gywHtlTUKiWc']}
The Guardian,0,The Guardian - Casualty, 1,12,{'nbc': ['XoUorS_Nb0vWoo4qd69q06PNqXqAjLRA']}
The Guardian,0,"The Guardian - Lawyers, Guns and Money", 1,19,{'nbc': ['cEiuOb0BKfme3fj_DORYdbgCKuVmL7pG']}
The Guardian,0,The Guardian - Shelter, 1,20,{'nbc': ['bCJ_OgMAgJOLWjmrB1S3Mo5W_6gm7A5e']}
The Guardian,0,The Guardian - Testimony, 2,1,{'nbc': ['6ubMkc33uhpiNefRCmJw_vF35iKNEQak']}
The Guardian,0,The Guardian - Monster, 2,2,{'nbc': ['L3_1uwgGITORaYOpOuLnD6C9yYZdgE1c']}
The Guardian,0,The Guardian - The Dead, 2,3,{'nbc': ['ygLoomK4CyELESxJnap4MsXlraWhBbx8']}
The Guardian,0,The Guardian - The Next Life, 2,4,{'nbc': ['oP5v96bSdFRUa1Wrdk7tqDTu0StV3nBH']}
The Guardian,0,The Guardian - Assuming The Position, 2,5,{'nbc': ['kAAFrybs8PpkPofdOUu5nAKbGefmVMQ5']}
The Guardian,0,The Guardian - The Living, 2,6,{'nbc': ['gSY1626Pwk3waATsoPHNLnczx88Vrcld']}
The Guardian,0,The Guardian - The Innocent, 2,7,{'nbc': ['IvwgrzMHAQcXwSAmk_eVJxGHB64MPfBm']}
The Guardian,0,The Guardian - The Neighborhood, 2,8,{'nbc': ['SsbR352ypdKCewXGH4lkorsKm8qPrEHO']}
The Guardian,0,The Guardian - The Dark, 2,9,{'nbc': ['ZH6c4CHQP29_V2uSJeKrWsJhEPnYCimY']}
The Guardian,0,The Guardian - Sacrifice, 2,10,{'nbc': ['LtSmLIse_T6Cc9splyk5h1dWh8bhAWN3']}
The Guardian,0,The Guardian - No Good Deed, 2,11,{'nbc': ['p7m0mzImRQolnnTqY6UfXB7mpHUWaKqv']}
The Guardian,0,The Guardian - You Belong To Me, 2,12,{'nbc': ['XCHIs4UFqc9lpf_GXMNm8KpgwyWYnbwb']}
The Guardian,0,The Guardian - Back In The Ring, 2,19,{'nbc': ['KBH3qCczK8jGVQr_mTwtJVCXG8ahLFK9']}
The Guardian,0,The Guardian - What It Means To You, 2,20,{'nbc': ['tWX0E0edQtxnqhN4pGjYb9Fu54YoQI75']}
The Guardian,0,The Guardian - Carnival, 3,1,{'nbc': ['LqwA8iA99_y_VHDog5wnJE_JT6LP2JlA']}
The Guardian,0,The Guardian - Big Coal, 3,2,{'nbc': ['rdrI_PKqhks_RMFEMf184Dim1zCwAhWn']}
The Guardian,0,The Guardian - The Line, 3,3,{'nbc': ['2m_mRLHSl1BHEnMaIyU2YK2czzwVqe85']}
