2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,16,Live Show 3,{'nbc': ['3085281']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,15,Live Results 2,{'nbc': ['3074746']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,14,Live Show 2,{'nbc': ['3074744']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,13,Live Results 1,{'nbc': ['3072234']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,12,Live Show 1,{'nbc': ['3072233']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,26,Finale Results,{'nbc': ['2903129']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,25,Final Performances,{'nbc': ['2903127']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,24,Semifinal Results 2,{'nbc': ['2899678']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,23,Semifinal Performances 2,{'nbc': ['2899669']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,22,Semifinal Results 1,{'nbc': ['2896198']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,21,Semifinal Performances 1,{'nbc': ['2896192']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,20,Live Results Week 3,{'nbc': ['2893095']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,19,Live Performances 3,{'nbc': ['2893094']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,18,Live Results 2,{'nbc': ['2890892']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,17,Live Performances 2,{'nbc': ['2890867']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,16,Round 1: Live Results,{'nbc': ['2888733']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,10,15,Round 1: Live Performances,{'nbc': ['2888731']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,25,Finale,{'nbc': ['2811298']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,24,Final Performances,{'nbc': ['2811222']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,23,Top 12: Results,{'nbc': ['2809618']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,22,Top 12: Performances,{'nbc': ['2809617']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,21,Semifinals: Week 2 Results,{'nbc': ['2808443']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,20,Semifinals: Week 2 Performances,{'nbc': ['2808328']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,19,Semifinals: Week 1 Results,{'nbc': ['2806982']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,18,Semifinals: Week 1 Performances,{'nbc': ['2806980']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,17,Quarterfinals: Week 4 Results,{'nbc': ['2805578']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,16,Quarterfinals: Week 4 Performances,{'nbc': ['2805576']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,15,Quarterfinals: Week 3 Results,{'nbc': ['2803981']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,9,14,Quarterfinals: Week 3 Performances,{'nbc': ['2803980']}
2018-07-20,NBC Shows,AMERICAN NINJA WARRIOR,Song,10,7,Los Angeles City Finals,{'nbc': ['3760904']}
